id,attr_time,attr_x,attr_y,attr_z
1,1547182324433,-0.229843,3.1795,8.52336
2,1547182324442,-0.257614,2.93185,8.61444
3,1547182324451,-0.179626,2.81464,8.81348
4,1547182324467,-0.118927,2.82674,8.70142
5,1547182324498,-0.191544,2.95287,8.66815
6,1547182324515,-0.14917,3.00105,8.93373
7,1547182324530,-0.0574646,2.97696,9.08414
8,1547182324545,-0.153198,2.93689,9.09157
9,1547182324578,-0.226303,2.96881,9.18312
10,1547182324594,-0.177994,2.95525,8.99748
11,1547182324610,-0.141464,2.90695,8.61352
12,1547182324625,-0.167542,2.95909,8.4659
13,1547182324657,-0.145615,2.91388,8.61269
14,1547182324673,-0.125824,2.938,8.71078
15,1547182324689,-0.172379,2.96214,8.83395
16,1547182324705,-0.172379,2.95139,8.97441
17,1547182324737,-0.149963,2.97864,9.0657
18,1547182324753,-0.125824,3.0428,8.96088
19,1547182324769,-0.114929,3.05133,8.78734
20,1547182324783,-0.133087,3.02727,8.73405
21,1547182324815,-0.198837,2.98004,8.7532
22,1547182324831,-0.162216,2.93167,8.81613
23,1547182324847,-0.256149,2.91135,8.84541
24,1547182324863,-0.211578,2.96814,8.71622
25,1547182324895,-0.13884,2.97845,8.76242
26,1547182324910,-0.172729,2.93016,8.95515
27,1547182324926,-0.162079,2.89661,9.0022
28,1547182324958,-0.136154,2.95016,8.78842
29,1547182324974,-0.199722,2.95782,8.64916
30,1547182324991,-0.214233,2.9828,8.59129
31,1547182325007,-0.341614,3.0417,8.95496
32,1547182325039,0.0574646,2.95378,9.01009
33,1547182325058,0.0137939,2.8138,8.88016
34,1547182325071,-0.166489,2.96881,8.9335
35,1547182325086,-0.27829,3.11411,8.90945
36,1547182325120,-0.227859,3.06979,8.69376
37,1547182325135,-0.217682,2.94267,8.68358
38,1547182325153,-0.205963,2.89465,8.69574
39,1547182325167,-0.20845,2.87305,8.64502
40,1547182325201,-0.150635,2.84009,8.53731
41,1547182325215,-0.264374,2.73506,8.85699
42,1547182325233,-0.312622,2.66267,9.10381
43,1547182325248,-0.27269,2.6079,9.0657
44,1547182325280,-0.205566,2.69899,8.80208
45,1547182325294,-0.146515,2.54568,8.80344
46,1547182325314,-0.183884,2.40376,9.11137
47,1547182325328,-0.172379,2.52237,9.13776
48,1547182325356,-0.270004,2.42645,9.38844
49,1547182325373,-0.353943,2.33675,9.59004
50,1547182325392,-0.363922,2.47818,9.21732
51,1547182325403,-0.229843,2.54742,8.54251
52,1547182325437,-0.33667,2.4949,8.76544
53,1547182325454,-0.389679,2.51903,9.06099
54,1547182325466,-0.232071,2.54315,9.12773
55,1547182325497,-0.342575,2.51059,9.2453
56,1547182325513,-0.293015,2.55882,9.06947
57,1547182325530,-0.306458,2.58574,8.99158
58,1547182325545,-0.306458,2.58574,8.905
59,1547182325579,-0.285873,2.62404,8.85185
60,1547182325593,-0.229568,2.60474,8.91946
61,1547182325609,-0.164642,2.54376,8.94884
62,1547182325627,-0.237823,2.57735,9.00738
63,1547182325656,-0.235962,2.58777,9.05151
64,1547182325673,-0.25882,2.61913,8.96881
65,1547182325689,-0.222839,2.57034,8.89618
66,1547182325705,-0.315323,2.51117,8.86812
67,1547182325736,-0.297836,2.48997,8.8979
68,1547182325753,-0.248993,2.48997,9.30731
69,1547182325767,-0.261795,2.42599,9.52579
70,1547182325785,-0.3573,2.44768,9.27109
71,1547182325816,-0.271057,2.78908,8.46805
72,1547182325831,-0.303482,2.71494,8.8369
